ZIP3,Lat,Lon
214,38.9896406,-76.54905789
215,39.57773953,-78.96976628
216,38.86673676,-76.05069081
217,39.44913587,-77.382995
218,38.36056166,-75.58505389
219,39.56120375,-75.99228125
220,38.86234783,-77.22257693
221,38.83510377,-77.22143642
222,38.88123443,-77.10090017
223,38.83112862,-77.1054273
224,38.23108786,-77.30653931
225,38.15327143,-77.24898469
226,39.07277338,-78.19579286
227,38.45003061,-78.03821939
228,38.50563333,-78.81185
229,38.04090567,-78.55812933
230,37.62949356,-77.41682772
231,37.4998441,-77.22245983
232,37.54388316,-77.47156195
233,37.00132646,-76.13837831
234,36.95177949,-76.19095487
235,36.86433079,-76.28011677
236,37.08132778,-76.46009571
237,36.84195069,-76.31723889
238,37.14932953,-77.38776316
239,37.00231935,-78.31550242
240,37.20747706,-80.01200902
241,37.06934143,-80.10405429
242,36.81517643,-82.35745987
243,36.83753356,-81.11225503
244,38.04320667,-79.31057
245,37.16149444,-79.15126608
246,37.17204028,-81.7817375
247,37.37688824,-81.17853529
248,37.48574203,-81.62438116
249,37.83328475,-80.45680678
250,38.28920448,-81.51959701
251,38.26736075,-81.62581589
252,38.65841184,-81.59550921
253,38.3517255,-81.6372055
254,39.42938372,-78.08368837
255,38.35476786,-82.14961161
256,37.76249259,-82.0260037
257,38.41577699,-82.43553274
258,37.825463,-81.192217
259,37.79625,-81.0564381
260,40.15625591,-80.61938661
261,39.28909,-81.33790077
262,38.86444066,-79.99928901
263,39.21827692,-80.45758462
264,39.25559726,-80.41546027
265,39.5895,-80.0849882
266,38.45512727,-80.77590909
267,39.39578605,-78.97946977
268,38.93795366,-79.0184878
270,36.17049502,-80.38823575
271,36.09141046,-80.25698769
272,35.95710716,-79.77658795
273,35.88759763,-79.59428538
274,36.05700861,-79.79280196
275,35.82887174,-78.63465029
276,35.8020726,-78.6551966
277,35.94769405,-78.88211162
278,35.87348852,-77.5487614
279,36.14088453,-76.32125746
280,35.33906188,-80.99037833
281,35.31159828,-80.76785226
282,35.21502079,-80.83265285
283,35.01738742,-78.9475324
284,34.2891912,-78.08137156
285,34.9859099,-77.28354777
286,35.94264222,-81.30105167
287,35.45591335,-82.64979975
288,35.58817723,-82.54401295
289,35.088075,-83.868865
290,33.98978865,-80.8998922
291,33.90319931,-80.79367674
292,34.0198117,-81.0258532
293,34.89395375,-81.929428
294,32.88681303,-80.02509611
295,33.99822153,-79.37769234
296,34.73092044,-82.462196
297,34.90712222,-81.01128778
298,33.53246422,-81.7971931
299,32.44946269,-80.81498109
300,33.87882718,-84.24722308
301,33.97785107,-84.61278737
302,33.49760013,-84.39142252
303,33.82242118,-84.34254523
304,32.48343918,-82.06773196
305,34.33189276,-83.8383092
306,33.90451178,-83.38081233
307,34.69029569,-85.06255167
308,33.39659213,-82.21214724
309,33.48753421,-82.06129699
310,32.62425137,-83.43419612
312,32.8358381,-83.64196667
313,31.93639896,-81.49039479
314,32.0700884,-81.1176529
315,31.29840563,-82.00096162
316,30.92886067,-83.28538483
317,31.47418031,-83.95340051
318,32.56099242,-84.86697576
319,32.47927346,-84.96985213
320,30.13761429,-81.80804379
321,29.28033024,-81.25835547
322,30.30075213,-81.63305956
323,30.41755655,-84.2583939
324,30.38547134,-85.67905612
325,30.46285326,-86.94394577
326,29.61443468,-82.36344412
327,28.67999853,-81.34017569
328,28.52980184,-81.37025332
329,28.15899052,-80.64259589
330,25.95777195,-80.25858971
331,25.78771157,-80.24139668
332,25.7714,-80.20635
333,26.14805954,-80.17388352
334,26.59437338,-80.10587723
335,28.0939347,-82.29407331
336,27.98146252,-82.47044567
337,27.89427293,-82.73852559
338,27.91676799,-81.75444563
339,26.74966989,-81.93435878
341,26.22950586,-81.7687168
342,27.32596833,-82.48886278
344,29.07456686,-82.21431716
346,28.24635759,-82.63796978
347,28.47366387,-81.51423972
349,27.25510366,-80.33700476
350,33.54527751,-86.70058997
351,33.49966525,-86.62874068
352,33.50463087,-86.80815558
354,33.16616844,-87.62999221
355,33.9002525,-87.5478075
